Participant_ID,Name,Email,College,State,Domain,Day,Feedback
98,Rohan Gupta,rohan277@gmail.com,VIT Vellore,Tamil Nadu,Web Development,Day 3,The sessions were informative but could be more detailed.
99,Rohan Sharma,rohan363@outlook.com,VIT Vellore,Maharashtra,Cybersecurity,Day 2,I expected more from the workshops.
100,Kiran Nair,kiran476@yahoo.com,BITS Pilani,Maharashtra,IoT,Day 2,Networking was amazing!
101,Rahul Iyer,rahul735@gmail.com,BITS Pilani,Tamil Nadu,Cybersecurity,Day 3,I expected more from the workshops.
102,Vihaan Iyer,vihaan428@yahoo.com,IIT Madras,Karnataka,Cybersecurity,Day 1,Great experience! Learned a lot.
103,Rohan Joshi,rohan319@outlook.com,NIT Karnataka,Telangana,Web Development,Day 3,"The event was okay, could have been better."
104,Rohan Nair,rohan499@yahoo.com,VIT Vellore,Karnataka,Cybersecurity,Day 2,"Event was decent, but nothing extraordinary."
105,Sanya Reddy,sanya455@outlook.com,NIT Karnataka,Telangana,Cybersecurity,Day 2,"The event was okay, could have been better."
106,Rohan Iyer,rohan418@yahoo.com,VIT Vellore,Tamil Nadu,AI & ML,Day 1,"The event was okay, could have been better."
107,Rohan Singh,rohan326@yahoo.com,Anna University,Maharashtra,Blockchain,Day 3,"I didn't learn much, felt like a waste of time."
108,Ishaan Singh,ishaan516@yahoo.com,VIT Vellore,Tamil Nadu,Web Development,Day 3,"Event was decent, but nothing extraordinary."
109,Ananya Reddy,ananya289@gmail.com,Anna University,Maharashtra,Web Development,Day 2,"The venue was not suitable for the event, very uncomfortable."
110,Kiran Patil,kiran192@gmail.com,IIT Madras,Tamil Nadu,AI & ML,Day 2,"Fantastic event, would participate again."
111,Vihaan Sharma,vihaan981@gmail.com,Anna University,Kerala,AI & ML,Day 2,"Event was decent, but nothing extraordinary."
112,Neha Joshi,neha731@yahoo.com,IIT Madras,Tamil Nadu,AI & ML,Day 1,I expected more from the workshops.
113,Sanya Iyer,sanya388@outlook.com,VIT Vellore,Karnataka,IoT,Day 1,"It was fine, but not very engaging."
114,Ishaan Verma,ishaan695@outlook.com,BITS Pilani,Telangana,Web Development,Day 1,"The event was okay, could have been better."
115,Ananya Iyer,ananya966@yahoo.com,BITS Pilani,Tamil Nadu,Cybersecurity,Day 3,"I didn't learn much, felt like a waste of time."
116,Kiran Verma,kiran792@yahoo.com,IIT Madras,Tamil Nadu,AI & ML,Day 3,The sessions were not relevant to my interests.
117,Rohan Sharma,rohan705@gmail.com,IIT Madras,Maharashtra,Cybersecurity,Day 3,Loved the mentors and project guidance.
118,Rahul Singh,rahul461@yahoo.com,NIT Karnataka,Tamil Nadu,Web Development,Day 3,"Didn't enjoy the event at all, poorly organized."
119,Rohan Singh,rohan569@gmail.com,BITS Pilani,Karnataka,Cybersecurity,Day 3,The event was too fast-paced and overwhelming.
120,Rahul Sharma,rahul403@gmail.com,VIT Vellore,Telangana,Blockchain,Day 2,"Fantastic event, would participate again."
121,Ananya Nair,ananya349@gmail.com,VIT Vellore,Telangana,Web Development,Day 1,"It was fine, but not very engaging."
122,Ananya Das,ananya995@yahoo.com,IIT Madras,Tamil Nadu,AI & ML,Day 3,Would love more hands-on sessions.
123,Aarav Patil,aarav890@outlook.com,BITS Pilani,Karnataka,Cybersecurity,Day 2,Great experience! Learned a lot.
124,Ishaan Joshi,ishaan741@gmail.com,Anna University,Tamil Nadu,AI & ML,Day 1,I expected more from the workshops.
125,Ananya Reddy,ananya764@yahoo.com,NIT Karnataka,Tamil Nadu,Cybersecurity,Day 2,The sessions were not relevant to my interests.
126,Rahul Patil,rahul381@gmail.com,NIT Karnataka,Maharashtra,IoT,Day 1,I expected more from the workshops.
127,Rahul Joshi,rahul734@outlook.com,BITS Pilani,Tamil Nadu,AI & ML,Day 3,The event was too fast-paced and overwhelming.
128,Priya Reddy,priya192@yahoo.com,NIT Karnataka,Tamil Nadu,Blockchain,Day 3,"Fantastic event, would participate again."
129,Ananya Das,ananya374@yahoo.com,BITS Pilani,Kerala,Web Development,Day 3,Loved the mentors and project guidance.
130,Ishaan Singh,ishaan905@gmail.com,Anna University,Maharashtra,Web Development,Day 1,Networking was amazing!
131,Ananya Reddy,ananya948@outlook.com,NIT Karnataka,Telangana,AI & ML,Day 1,"The event was okay, could have been better."
132,Neha Patil,neha236@yahoo.com,IIT Madras,Maharashtra,AI & ML,Day 3,Loved the mentors and project guidance.
133,Ananya Joshi,ananya624@yahoo.com,NIT Karnataka,Tamil Nadu,AI & ML,Day 3,Loved the mentors and project guidance.
134,Sanya Verma,sanya864@yahoo.com,Anna University,Maharashtra,AI & ML,Day 3,The sessions were not relevant to my interests.
135,Rahul Das,rahul663@yahoo.com,Anna University,Tamil Nadu,Web Development,Day 2,Great experience! Learned a lot.
136,Kiran Gupta,kiran135@yahoo.com,Anna University,Telangana,AI & ML,Day 2,The event was too fast-paced and overwhelming.
137,Priya Joshi,priya640@yahoo.com,IIT Madras,Tamil Nadu,IoT,Day 3,The sessions were not relevant to my interests.
138,Aarav Gupta,aarav834@yahoo.com,NIT Karnataka,Maharashtra,AI & ML,Day 1,"The event was okay, could have been better."
139,Vihaan Gupta,vihaan636@outlook.com,VIT Vellore,Karnataka,IoT,Day 3,"I didn't learn much, felt like a waste of time."
140,Ishaan Iyer,ishaan214@yahoo.com,VIT Vellore,Telangana,Web Development,Day 3,Great experience! Learned a lot.
141,Rahul Singh,rahul714@yahoo.com,VIT Vellore,Karnataka,Blockchain,Day 1,Loved the mentors and project guidance.
142,Rohan Gupta,rohan270@yahoo.com,BITS Pilani,Telangana,AI & ML,Day 1,The sessions were not relevant to my interests.
143,Rahul Singh,rahul733@yahoo.com,VIT Vellore,Kerala,Cybersecurity,Day 2,"Event was decent, but nothing extraordinary."
144,Ananya Reddy,ananya539@yahoo.com,Anna University,Karnataka,Web Development,Day 3,"It was fine, but not very engaging."
145,Neha Singh,neha774@gmail.com,VIT Vellore,Tamil Nadu,AI & ML,Day 3,Would love more hands-on sessions.
146,Rohan Patil,rohan233@gmail.com,BITS Pilani,Karnataka,Blockchain,Day 2,I expected more from the workshops.
147,Rahul Patil,rahul675@yahoo.com,IIT Madras,Telangana,IoT,Day 2,Loved the mentors and project guidance.
148,Rahul Joshi,rahul248@outlook.com,VIT Vellore,Maharashtra,IoT,Day 3,"It was fine, but not very engaging."
149,Rohan Joshi,rohan563@gmail.com,Anna University,Tamil Nadu,Blockchain,Day 1,"Didn't enjoy the event at all, poorly organized."
150,Ishaan Patil,ishaan728@gmail.com,NIT Karnataka,Karnataka,Web Development,Day 2,"Event was decent, but nothing extraordinary."
151,Rahul Reddy,rahul543@yahoo.com,Anna University,Tamil Nadu,Cybersecurity,Day 1,"Didn't enjoy the event at all, poorly organized."
152,Sanya Das,sanya131@gmail.com,VIT Vellore,Maharashtra,AI & ML,Day 2,"It was fine, but not very engaging."
153,Vihaan Patil,vihaan208@gmail.com,BITS Pilani,Tamil Nadu,Cybersecurity,Day 3,"Didn't enjoy the event at all, poorly organized."
154,Aarav Patil,aarav853@outlook.com,IIT Madras,Telangana,Web Development,Day 3,Networking was amazing!
155,Priya Singh,priya302@gmail.com,IIT Madras,Karnataka,IoT,Day 1,"The venue was not suitable for the event, very uncomfortable."
156,Vihaan Patil,vihaan268@outlook.com,NIT Karnataka,Kerala,Cybersecurity,Day 1,I expected more from the workshops.
157,Ananya Gupta,ananya739@yahoo.com,Anna University,Tamil Nadu,AI & ML,Day 2,"It was fine, but not very engaging."
158,Rohan Verma,rohan472@gmail.com,Anna University,Tamil Nadu,Blockchain,Day 1,The sessions were not relevant to my interests.
159,Vihaan Verma,vihaan546@yahoo.com,BITS Pilani,Maharashtra,Cybersecurity,Day 2,"Event was decent, but nothing extraordinary."
160,Rohan Das,rohan242@yahoo.com,IIT Madras,Tamil Nadu,Blockchain,Day 1,"Event was decent, but nothing extraordinary."
161,Rahul Nair,rahul153@gmail.com,VIT Vellore,Tamil Nadu,Web Development,Day 3,The sessions were not relevant to my interests.
162,Priya Das,priya688@yahoo.com,IIT Madras,Telangana,Web Development,Day 2,The event was too fast-paced and overwhelming.
163,Rahul Singh,rahul562@outlook.com,NIT Karnataka,Karnataka,Web Development,Day 3,"The event was okay, could have been better."
164,Vihaan Joshi,vihaan412@yahoo.com,BITS Pilani,Karnataka,IoT,Day 2,"It was fine, but not very engaging."
165,Kiran Joshi,kiran784@outlook.com,NIT Karnataka,Kerala,Blockchain,Day 3,I expected more from the workshops.
166,Kiran Das,kiran890@outlook.com,VIT Vellore,Tamil Nadu,IoT,Day 3,The event was too fast-paced and overwhelming.
167,Kiran Verma,kiran392@yahoo.com,BITS Pilani,Maharashtra,Cybersecurity,Day 1,I expected more from the workshops.
168,Sanya Gupta,sanya862@yahoo.com,NIT Karnataka,Telangana,Blockchain,Day 2,Networking was amazing!
169,Vihaan Nair,vihaan782@yahoo.com,Anna University,Maharashtra,Web Development,Day 2,"The event was okay, could have been better."
170,Rahul Sharma,rahul698@yahoo.com,BITS Pilani,Kerala,Cybersecurity,Day 2,Would love more hands-on sessions.
171,Rohan Das,rohan342@gmail.com,VIT Vellore,Maharashtra,IoT,Day 3,"I didn't learn much, felt like a waste of time."
172,Priya Singh,priya212@gmail.com,NIT Karnataka,Telangana,Web Development,Day 2,The sessions were informative but could be more detailed.
173,Sanya Nair,sanya585@outlook.com,NIT Karnataka,Kerala,Cybersecurity,Day 3,The event was too fast-paced and overwhelming.
174,Rahul Das,rahul380@gmail.com,VIT Vellore,Tamil Nadu,Cybersecurity,Day 1,Networking was amazing!
175,Vihaan Iyer,vihaan102@outlook.com,Anna University,Maharashtra,Cybersecurity,Day 1,The sessions were not relevant to my interests.
176,Priya Joshi,priya703@outlook.com,NIT Karnataka,Maharashtra,AI & ML,Day 1,The event was too fast-paced and overwhelming.
177,Neha Sharma,neha707@yahoo.com,BITS Pilani,Telangana,Web Development,Day 3,Great experience! Learned a lot.
178,Sanya Sharma,sanya334@outlook.com,VIT Vellore,Tamil Nadu,IoT,Day 3,"It was fine, but not very engaging."
179,Rahul Patil,rahul309@outlook.com,Anna University,Telangana,AI & ML,Day 3,"The event was okay, could have been better."
180,Vihaan Iyer,vihaan811@gmail.com,VIT Vellore,Karnataka,IoT,Day 3,"Fantastic event, would participate again."
181,Rohan Nair,rohan820@outlook.com,VIT Vellore,Karnataka,Blockchain,Day 3,Would love more hands-on sessions.
182,Rahul Iyer,rahul764@outlook.com,Anna University,Tamil Nadu,IoT,Day 3,"The venue was not suitable for the event, very uncomfortable."
183,Aarav Verma,aarav371@yahoo.com,Anna University,Telangana,IoT,Day 2,Loved the mentors and project guidance.
184,Priya Reddy,priya833@outlook.com,IIT Madras,Kerala,Cybersecurity,Day 1,"The venue was not suitable for the event, very uncomfortable."
185,Sanya Verma,sanya459@outlook.com,IIT Madras,Karnataka,Web Development,Day 1,"Fantastic event, would participate again."
186,Kiran Iyer,kiran617@yahoo.com,IIT Madras,Kerala,Blockchain,Day 1,Great experience! Learned a lot.
187,Aarav Das,aarav583@yahoo.com,IIT Madras,Telangana,Blockchain,Day 1,Loved the mentors and project guidance.
188,Vihaan Singh,vihaan249@gmail.com,Anna University,Tamil Nadu,Web Development,Day 2,"It was fine, but not very engaging."
189,Vihaan Reddy,vihaan789@yahoo.com,NIT Karnataka,Kerala,AI & ML,Day 3,The event was too fast-paced and overwhelming.
190,Ananya Das,ananya581@yahoo.com,VIT Vellore,Telangana,IoT,Day 3,The event was too fast-paced and overwhelming.
191,Neha Reddy,neha166@gmail.com,VIT Vellore,Tamil Nadu,Web Development,Day 1,Networking was amazing!
192,Priya Nair,priya193@outlook.com,Anna University,Telangana,IoT,Day 2,The event was too fast-paced and overwhelming.
193,Ananya Iyer,ananya567@outlook.com,Anna University,Karnataka,Blockchain,Day 2,"The venue was not suitable for the event, very uncomfortable."
194,Aarav Joshi,aarav892@gmail.com,IIT Madras,Maharashtra,Cybersecurity,Day 1,"The event was okay, could have been better."
195,Sanya Nair,sanya844@gmail.com,IIT Madras,Tamil Nadu,Blockchain,Day 1,I expected more from the workshops.
196,Sanya Patil,sanya919@yahoo.com,VIT Vellore,Maharashtra,Blockchain,Day 3,"Fantastic event, would participate again."
197,Kiran Singh,kiran462@gmail.com,IIT Madras,Telangana,Blockchain,Day 1,The sessions were not relevant to my interests.
198,Ananya Gupta,ananya488@yahoo.com,Anna University,Tamil Nadu,IoT,Day 1,"Fantastic event, would participate again."
199,Vihaan Das,vihaan108@outlook.com,NIT Karnataka,Karnataka,Web Development,Day 3,The event was too fast-paced and overwhelming.
200,Neha Gupta,neha921@outlook.com,VIT Vellore,Kerala,AI & ML,Day 3,"Didn't enjoy the event at all, poorly organized."
201,Aarav Das,aarav118@gmail.com,IIT Madras,Kerala,IoT,Day 3,"Fantastic event, would participate again."
202,Aarav Singh,aarav787@outlook.com,Anna University,Kerala,AI & ML,Day 1,Loved the mentors and project guidance.
203,Aarav Gupta,aarav760@yahoo.com,NIT Karnataka,Telangana,Cybersecurity,Day 3,"Event was decent, but nothing extraordinary."
204,Aarav Singh,aarav574@gmail.com,IIT Madras,Kerala,Blockchain,Day 3,"Event was decent, but nothing extraordinary."
205,Ishaan Nair,ishaan950@gmail.com,Anna University,Maharashtra,Blockchain,Day 1,Great experience! Learned a lot.
206,Kiran Singh,kiran146@yahoo.com,BITS Pilani,Telangana,Cybersecurity,Day 1,"Event was decent, but nothing extraordinary."
207,Neha Nair,neha161@yahoo.com,IIT Madras,Tamil Nadu,IoT,Day 1,"I didn't learn much, felt like a waste of time."
208,Aarav Reddy,aarav873@gmail.com,Anna University,Kerala,Cybersecurity,Day 2,"It was fine, but not very engaging."
209,Ishaan Patil,ishaan458@yahoo.com,IIT Madras,Telangana,Cybersecurity,Day 1,"The venue was not suitable for the event, very uncomfortable."
210,Vihaan Reddy,vihaan467@outlook.com,Anna University,Kerala,Blockchain,Day 3,Would love more hands-on sessions.
211,Rohan Sharma,rohan894@yahoo.com,NIT Karnataka,Tamil Nadu,IoT,Day 2,"The event was okay, could have been better."
212,Ishaan Verma,ishaan467@gmail.com,VIT Vellore,Telangana,IoT,Day 3,"Event was decent, but nothing extraordinary."
213,Vihaan Reddy,vihaan513@gmail.com,VIT Vellore,Maharashtra,IoT,Day 1,"I didn't learn much, felt like a waste of time."
214,Neha Gupta,neha165@gmail.com,IIT Madras,Telangana,Blockchain,Day 1,I expected more from the workshops.
215,Vihaan Joshi,vihaan461@outlook.com,VIT Vellore,Tamil Nadu,IoT,Day 1,The event was too fast-paced and overwhelming.
216,Vihaan Verma,vihaan514@gmail.com,IIT Madras,Tamil Nadu,IoT,Day 2,Would love more hands-on sessions.
217,Neha Nair,neha827@yahoo.com,IIT Madras,Maharashtra,Cybersecurity,Day 3,The sessions were informative but could be more detailed.
218,Rohan Iyer,rohan142@yahoo.com,BITS Pilani,Maharashtra,Web Development,Day 2,"I didn't learn much, felt like a waste of time."
219,Ananya Gupta,ananya406@yahoo.com,VIT Vellore,Maharashtra,IoT,Day 1,The sessions were informative but could be more detailed.
220,Vihaan Patil,vihaan837@gmail.com,VIT Vellore,Maharashtra,Cybersecurity,Day 3,"It was fine, but not very engaging."
221,Rahul Singh,rahul994@gmail.com,BITS Pilani,Karnataka,Web Development,Day 2,"It was fine, but not very engaging."
222,Vihaan Iyer,vihaan189@outlook.com,IIT Madras,Tamil Nadu,AI & ML,Day 2,"Fantastic event, would participate again."
223,Ananya Verma,ananya328@yahoo.com,VIT Vellore,Kerala,Web Development,Day 1,The sessions were not relevant to my interests.
224,Kiran Nair,kiran804@outlook.com,IIT Madras,Karnataka,IoT,Day 2,"Didn't enjoy the event at all, poorly organized."
225,Ananya Gupta,ananya814@yahoo.com,VIT Vellore,Tamil Nadu,Web Development,Day 2,"Didn't enjoy the event at all, poorly organized."
